,Title,Description
51,The Starfish Sisters,"From the USA Today bestselling author of When We Believed in Mermaids comes an emotional novel about two women facing the betrayals, heartbreaks, and refuge of true friendship.\n\nPhoebe and Suze used to be closer than sisters. Growing up in a quiet and wildly beautiful coastal town in Oregon, they shared everything. Until the secrets they couldn’t share threatened their bond and complicated their lives.\n\nNow, decades later, Suze, a famous actress desperate for safe haven following a brutal attack, is back in town. Phoebe, a successful illustrator and fabric designer, has discovered keeping a secret means she can’t let anyone get close, aside from her beloved granddaughter, Jasmine. As Jasmine’s move to London looms, Phoebe doesn’t know how to face the return of her old friend and all the drama she brings.\n\nBut Phoebe let Suze down once before and she’s not sure she can do it again. Can the two women who’ve never confronted their past do it now when the choice is between healing and survival?\n\nHeartfelt and layered, The Starfish Sisters is a moving story about the complicated nature of female friendship, the joys and heartbreaks of life, and the resiliency and power that women possess."
52,The Curious Case of Benjamin Button,"Today, F. Scott Fitzgerald is known for his novels, but in his lifetime, his fame stemmed from his prolific achievement as one of America\'s most gifted story writers. &quot;The Curious Case of Benjamin Button,&quot; a witty and fantastical satire about aging, is one of his most memorable stories.  In 1860 Benjamin Button is born an old man and mysteriously begins aging backward. At the beginning of his life he is withered and worn, but as he continues to grow younger he embraces life -- he goes to war, runs a business, falls in love, has children, goes to college and prep school, and, as his mind begins to devolve, he attends kindergarten and eventually returns to the care of his nurse.  This strange and haunting story embodies the sharp social insight that has made Fitzgerald one of the great voices in the history of American literature."
53,Becoming,"In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare. \n \nIn her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it—in her own words and on her own terms. Warm, wise, and revelatory, Becoming is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations—and whose story inspires us to do the same."
54,"Hello, Molly!: A Memoir","A candid, compulsively readable, hilarious, and heartbreaking memoir of resilience and redemption by comedic genius Molly Shannon\n\nAt age four, Molly Shannon\'s world was shattered when she lost her mother, baby sister, and cousin in a car accident with her father at the wheel. Held together by her tender and complicated relationship with her grieving father, Molly was raised in a permissive household where her gift for improvising and role-playing blossomed alongside the fearlessness that would lead her to become a celebrated actress.\n\nFrom there, Molly ventured into the wider world of New York and Los Angeles show business, where she created her own opportunities and developed her daring and empathetic comedy. Filled with behind-the-scenes stories involving everyone from Whitney Houston to Adam Sandler to Monica Lewinsky, many told for the first time here, Hello, Molly! spans Molly\'s time on Saturday Night Live—where she starred alongside Will Ferrell, Adam Sandler, Cheri Oteri, Tracy Morgan, and Jimmy Fallon, among many others. At the same time, it explores with humor and candor her struggle to come to terms with the legacy of her father, a man who both fostered her gifts and drive and was left with the impossible task of raising his kids alone after the loss of her mother.\n\nWitty, winning, and told with tremendous energy and heart, Hello, Molly!, written with Sean Wilsey, sheds new and revelatory light on the life and work of one of our most talented and free-spirited performers."
55,City of Dreams,"Hollywood.\n\nThe city where dreams are made. \n\nOn the losing side of a bloody East Coast crime war, Danny Ryan is now on the run. The Mafia, the cops, the FBI all want him dead or in prison. With his little boy, his elderly father and the tattered remnants of his loyal crew of soldiers, he makes the classic American migration to California to start a new life.\n\nA quiet, peaceful existence.\n\nBut the Feds track him down and want Danny to do them a favor that could make him a fortune or kill him. \n\nAnd when Hollywood starts shooting a film based on his former life, Danny demands a piece of the action and begins to rebuild his criminal empire.\n\nThen he falls in love.\n\nWith a beautiful movie star who has a dark past of her own.\n\nAs their worlds collide in an explosion that could destroy them both, Danny Ryan has to fight for his life in a city where dreams are born.\n\nOr where they go to die.\n\nFrom the shores of Rhode Island to the deserts of California where bodies disappear, from the power corridors of Washington where the real criminals operate to the fabled movie studios of Hollywood where the real money is made, City of Dreams is a sweeping saga of family, love, revenge, survival and the fierce reality behind the dream."
56,Winter&#39;s Ghost (Winter Black #5),"Some ghosts don’t just haunt...they hunt.\n\nA prisoner responsible for a mall massacre that occurred the night The Preacher was taken down is executed, with a well-placed bullet fired from nearly a mile away. The sniper is clearly a professional—either military or law enforcement—and leaves zero evidence, other than a note.\n\nWhen a series of suspected rapists and murderers turn up dead, the killer’s pattern becomes clear: they’re acting as judge, jury, and executioner for cases that were brushed off by the cops. How could a person not cheer a little?\n\nUntil the spotlight is shone on one of the FBI’s own.\n\nUltimately, it’s a matter of right or wrong. Winter knows just where that line is—she learned the night her parents were slaughtered and her baby brother disappeared. That night made her who she is, and she’ll uphold the law, even for scumbags who deserve to die. Even while the ghosts of her past grow closer and closer."
57,Yummy: A History of Desserts,"\n  Cake is delicious and comics are awesome: this exciting non-fiction graphic novel for kids combines both! Explore the history of desserts through a fun adventure with facts, legends, and recipes for readers to try at home.\n\n\nHave you ever wondered who first thought to freeze cream? Or when people began making sweet pastry shells to encase fruity fillings? Food sprite Peri is excited to show you the delicious history of sweets while taking you around the world and back!\n\nThe team-up that made ice cream cones!\n\nThe mistake that made brownies!\n\nLearn about and taste the true stories behind everyone\'s favorite treats, paired with fun and easy recipes to try at home. After all, sweets--and their stories--are always better when they\'re shared!"
58,The Maidens,"Edward Fosca is a murderer. Of this Mariana is certain. But Fosca is untouchable. A handsome and charismatic Greek Tragedy professor at Cambridge University, Fosca is adored by staff and students alike—particularly by the members of a secret society of female students known as The Maidens. \n\nMariana Andros is a brilliant but troubled group therapist who becomes fixated on The Maidens when one member, a friend of Mariana’s niece Zoe, is found murdered in Cambridge. \n\nMariana, who was once herself a student at the university, quickly suspects that behind the idyllic beauty of the spires and turrets, and beneath the ancient traditions, lies something sinister. And she becomes convinced that, despite his alibi, Edward Fosca is guilty of the murder. But why would the professor target one of his students? And why does he keep returning to the rites of Persephone, the maiden, and her journey to the underworld?\n\nWhen another body is found, Mariana’s obsession with proving Fosca’s guilt spirals out of control, threatening to destroy her credibility as well as her closest relationships. But Mariana is determined to stop this killer, even if it costs her everything—including her own life."
59,Blaste from the Past,"A magical tree that makes your soul mate appear is surely just a legend, right? That\'s what Shiloh thought until one night, in a moment of desperation, she begs the Wanting Tree for someone to love...and a shirtless rancher from 1949 arrives, still holding onto his cowboy hat, calling her &quot;sugar&quot; and claiming to be her man. For life. Blaste is there to awaken her body, defend her from the local bullies and capture her heart. But as Blaste and Shiloh are about to find out, time travel has its complications..."
60,The Skinnytaste Air Fryer Cookbook: The 75 Best Healthy Recipes for Your Air Fryer,"NEW YORK TIMES BESTSELLER • From bestselling author Gina Homolka comes the must-have air fryer cookbook, featuring 75 quick and easy recipes that deliver on Skinnytaste’s signature “light on calories, big on flavor” promise.\n\nGina Homolka is beloved for her incredible recipes that transform your favorite, comforting foods into healthy, low-cal dishes with tons of flavor. Now she brings her expertise to the game-changing air fryer appliance. Using high-powered, super-hot circulating air like a convection oven, air fryers crisp up your favorite &quot;fried&quot; foods with barely any oil needed. Cook times are shorter than traditional oven methods and the process requires little clean-up. \n\nIn The Skinnytaste Air Fryer Cookbook , Gina shares 75 of her best recipes that work in every type of air fryer, including basket models and countertop ovens with air fryer settings. You\'ll of course find crave-worthy recipes for traditionally fried foods, such as Chicken-Vegetable Spring Rolls , Crispy Coconut Shrimp , Za’atar Chickpeas , and Pickle-Brined Chicken Tenders , but Gina also shows you how versatile the appliance can be. Perfectly roasted meats and vegetables like Korean Pork Lettuce Wraps , Roasted Fish with Lemon-Almond Crumbs , Sugar and Spice Acorn Squash , and Charred Sesame Green Beans , along with baked goods like Homemade Bagels and Cinnamon Rolls with Cream Cheese Icing , are all executed beautifully in the compact air fryer.\n \nFor those of us with a sweet tooth, The Skinnytaste Air Fryer Cookbook even offers low-cal desserts, including Churros , Very Berry Mini Pie , and Baked Apples with Streusel Topping . Many dishes are vegetarian, gluten-free, and keto-friendly—all called out with helpful icons—and every recipe includes nutritional information (with the most up-to-date Weight Watchers points found on the blog)."
61,"The Lost Metal (Mistborn, #7)","Return to #1 New York Times bestseller Brandon Sanderson\'s Mistborn world of Scadrial as its second era, which began with The Alloy of Law, comes to its earth-shattering conclusion in The Lost Metal.\n\nFor years, frontier lawman turned big-city senator Waxillium Ladrian has hunted the shadowy organization the Set—with his late uncle and his sister among their leaders—since they started kidnapping people with the power of Allomancy in their bloodlines. When Detective Marasi Colms and her partner, Wayne, find stockpiled weapons bound for the Outer City of Bilming, this opens a new lead. Conflict between the capital, Elendel, and the Outer Cities only favors the Set, and their tendrils now reach to the Elendel Senate—whose corruption Wax and his wife, Steris, have sought to expose—and Bilming is even more entangled. \n\nAfter Wax discovers a new type of explosive that can unleash unprecedented destruction and realizes that the Set must already have it, an immortal kandra serving Scadrial\'s god, Harmony, reveals that Bilming has fallen under the influence of another god: Trell, worshipped by the Set. And Trell isn\'t the only factor at play from the larger Cosmere—Marasi is recruited by offworlders with strange abilities who claim their goal is to protect Scadrial . . . at any cost. \n\nWax must choose whether to set aside his rocky relationship with God and once again become the Sword that Harmony has groomed him to be. If no one steps forward to be the hero Scadrial needs, the planet and its millions of people will come to a sudden and calamitous ruin."
62,Mary Anne&#39;s Bad Luck Mystery,"A brand-new Baby-sitters Club graphic novel adapted by newcomer Cynthia Yuan Cheng!\n\nMary Anne should never have thrown away that chain letter she got in the mail. Ever since she did, bad things have been happening to everyone in The Baby-sitters Club. With Halloween coming up, Mary Anne\'s even more worried -- what kind of spooky thing will happen next?\n\nThen Mary Anne finds a new note in her mailbox: Wear this bad-luck charm, it says. OR ELSE. Mary Anne has to follow the note\'s instructions. But who sent the charm? And why did they send it to Mary Anne?\n\nThe BSC might never see an end to their bad luck if they don’t solve this mystery soon!"
63,Out of Nowhere,"#1  New York Times  bestselling author Sandra Brown returns with a fast-paced, emotional thriller where the lives of a young mother and a high-rolling consultant collide under devastating circumstances—culminating in a desperate manhunt that will change their futures forever.\n \nAt a Texas county fair, amidst carousels and a bustling midway, children’s book author Elle Portman is enjoying a rare night out with her favorite her two-year-old son, Charlie. But just as they’re about to head home, the unthinkable a shooter opens fire into the crowd, causing widespread panic to erupt all around them.\n\nAlso caught in the melee was corporate consultant Calder Hudson. Arrogant, self-centered, and high off his latest career win, he’s frustrated and confused when he wakes up in the hospital after undergoing emergency surgery on his arm.  The doctor tells him that he was lucky—that as far as gunshot wounds go, he pulled through remarkably well.  Others weren’t so lucky, which instills in Calder a furious determination to get justice . . . a goal shared by Elle.\n\nTheir chance encounter at the police station leads to a surprising and inexplicable gravitation to one another, but even as the attraction grows, Elle and Calder can’t help but wonder if the unimaginable tragedy that brought them together is too painful and too complicated to sustain—especially while the shooter remains at large."
64,Young Hellboy: Assault on Castle Death,"Returned from their adventures on a secret island, Hellboy and the Professor move with the B.P.R.D. from New Mexico to Connecticut.\n\nThe relocation is tough on Hellboy: is he just homesick, or have scrambled memories from the island gripped the supernatural whippersnapper? Meanwhile, word of Hellboy\'s survival has also reached an unknown enemy, who failed to kill him once before but is determined not be foiled again...\n\nJoin Hellboy creator Mike Mignola and cowriter Thomas Sniegoski, with artist Craig Rousseau and colorist Chris O\'Halloran for the second volume of the Young Hellboy series.\n\nCollects Young Hellboy: Assault on Castle Death #1-#4 and bonus material."
65,Wes &amp; Liz’s College Road Trip,"Sucesso no TikTok, Melhor do que nos filmes ganha capítulos extras inéditos com muito romance e Taylor Swift Depois de viver uma história de amor digna das comédias românticas em Melhor do que nos filmes , Elizabeth Buxbaum e Wesley Bennett estão a caminho da Universidade da Califórnia. Mas Liz não tem pressa, porque botar o pé na estrada com Wes e rir de suas piadas é mais divertido do que qualquer outra coisa no mundo. À medida que cruzam o país e veem lindas paisagens pela janela do carro, Wes e Liz vão criar uma trilha sonora, resgatar um gato abandonado na estrada, se envolver em confusão, dar muitos beijos e talvez até encontrar coragem para dizer aquelas três palavras mágicas. Mas os dois sabem que, quando chegarem ao destino, nada será como antes. Ao deixar a cidade natal e a adolescência para trás, eles também estão abrindo as portas para novas possibilidades, e o futuro pode ser surpreendente. Um inesquecível presente para os fãs, Wes e Liz na estrada tem cinco capítulos extras inéditos com referências a músicas de Taylor Swift e muitos momentos apaixonantes. Pela primeira vez, Lynn Painter traz o ponto de vista de Wes e revela o que aconteceu após os eventos de Melhor do que nos filmes ."
66,"Raising Hell (In Fire and Ash, #2)","Hades sleeps no more.\n\nI woke the god of the underworld and paid his price for a chance to win my freedom. A kiss. Just one. But since surrendering his fee, I can’t stop thinking about doing it again. I am in so much trouble.\n\nConvincing Hades that she’s human is proving more difficult than Ashlyn imagined. The sexy king of Hell believes she’s playing games by withholding what he truly wants: Her. He alternates between outrageous promises to lay the world at her feet and demands for the affection he craves. He doesn’t ask for much. Just…everything.\n\nEven as she denies him, Ashlyn’s drawn closer to succumbing to his desires. And when a mysterious immortal with the ability to enter Hell attempts to kill Ashlyn, she knows there’s nowhere safer than within Hades’ protective arms. Now, not only must Ashlyn safeguard her heart from the seductive Hades, she must also figure out who wants her dead before Hades destroys the whole world in her name."
67,"Borrow My Heart (Borrow My Heart, #1)","When a girl overhears a guy getting verbally destroyed by his friends for being catfished, she jumps in to save the day—and pretends to be his online crush. A young adult romance from the critically acclaimed author of Places We\'ve Never Been.\n\nWren is used to being called a control freak. She doesn’t care; sticking to the list of rules she created for herself helps her navigate life. But when a cute guy named Asher walks through the door of her neighborhood coffee shop, the rulebook goes out the window.\n\nAsher is cute, charming . . . and being catfished by his online crush. So Wren makes an uncharacteristically impulsive decision—she pretends to be the girl he\'s waiting for to save him from embarrassment. Suddenly she’s fake-dating a boy she knows nothing about. And it’s . . . amazing.\n\nIt\'s not long before Asher has her breaking even more of her own rules. But will he forgive her when he finds out she\'s not who she says she is? Wren\'s not so sure. . . . After all, rules exist for a reason."
68,"Cat Kid Comic Club: Collaborations (Cat Kid Comic Club, #4)","The Cat Kid Comic Club learns to collaborate in this creative, funny, and insightful graphic novel by Dav Pilkey, the author and illustrator of Dog Man. Excitement and imagination run wild as Naomi, Melvin, Poppy, Gilbert, Curly, and their siblings get back to making comics with originality and laughter. But wait -- have they cleaned their rooms yet?! After their chores, the rambunctious group presents even more amazing a thrilling ride in &quot;Chubbs McSpiderbutt,&quot; an action-packed romp in &quot;Frogzilla,&quot; reflective haikus in &quot;In the Autumn Pond,&quot; a candy-coated mystery in &quot;Mallo Cop,&quot; and much, much more. By working together, the baby frogs discover that small things can have a huge impact. In this innovative graphic novel series, award-winning author and illustrator Dav Pilkey employs a variety of techniques -- including origami, acrylic paints, colored pencils, photography, collage, gouache, watercolors, and more -- to capture the creative and joyful spirit of collaboration. The variety of art styles, paired with Pilkey\'s trademark storytelling and humor, inspires imagination and innovation for readers of all ages."
69,Hands Down,"Before he was Big Texas, he was Zac the Snack Pack.\n\nBianca Brannen knows time--mostly--heals all wounds. Including those your once loved ones might have unintentionally given you. (Those just take longer.)\n\nShe thinks she’s ready when a call has her walking back into her old friend’s life. Or at least as prepared as possible to see the starting quarterback in the National Football Organization. Before the lights, the fans, and the millions, he’d been a skinny kid with a heart of gold. \n\nWaltzing out of Zac Travis’s life should be easy. Just as easy as he walked out of hers."
70,The Twins of Auschwitz,"The Nazis spared their lives because they were twins.\n\nIn the summer of 1944, Eva Mozes Kor and her family arrived at Auschwitz.\n\nWithin thirty minutes, they were separated. Her parents and two older sisters were taken to the gas chambers, while Eva and her twin, Miriam, were herded into the care of the man who became known as the Angel of Death: Dr. Josef Mengele. They were 10 years old.\n\nWhile twins at Auschwitz were granted the \'privileges\' of keeping their own clothes and hair, they were also subjected to Mengele\'s sadistic medical experiments. They were forced to fight daily for their own survival and many died as a result of the experiments, or from the disease and hunger rife in the concentration camp.\n\nIn a narrative told simply, with emotion and astonishing restraint, The Twins of Auschwitz shares the inspirational story of a child\'s endurance and survival in the face of truly extraordinary evil.\n\nAlso included is an epilogue on Eva\'s incredible recovery and her remarkable decision to publicly forgive the Nazis. Through her museum and her lectures, she dedicated her life to giving testimony on the Holocaust, providing a message of hope for people who have suffered, and worked toward goals of forgiveness, peace, and the elimination of hatred and prejudice in the world."
71,Lady Clementine,"From Marie Benedict, the New York Times bestselling author of The Only Woman in the Room, comes an incredible novel that focuses on one of the people who had the most influence during World War I and World War II: Clementine Churchill. \n\nIn 1909, Clementine Churchill steps off a train with her new husband, Winston. An angry woman emerges from the crowd to attack, shoving him in the direction of an oncoming train. Just before he stumbles, Clementine grabs him by his suit jacket. This will not be the last time Clementine Churchill saves her husband.\n\nLady Clementine is the ferocious story of the brilliant and ambitious woman beside Winston Churchill, the story of a partner who did not flinch through the sweeping darkness of war, and who would not surrender either to expectations or to enemies."
72,President Garfield: From Radical to Unifier,"“An eloquent and moving biography of our twentieth President.” —James M. McPherson, Pulitzer Prize–winning author of Battle Cry of Freedom\n\n“ A meticulously researched reappraisal .” —Walter Isaacson, author of Steve Jobs\n\nThe first comprehensive biography in decades of the extraordinary, tragic life of America’s twentieth president—James Garfield.\n\nIn this magisterial biography, C.W. Goodyear charts the life and times of one of the most remarkable Americans ever to win the Presidency. Progressive firebrand and conservative compromiser; Union war hero and founder of the first Department of Education; Supreme Court attorney and abolitionist preacher; mathematician and canalman; crooked election-fixer and clean-government champion; Congressional chieftain and gentleman-farmer; the last president to be born in a log cabin; the second to be assassinated. James Abram Garfield was all these things and more.\n\nOver nearly two decades in Congress during a polarized era—Reconstruction and the Gilded Age—Garfield served as a peacemaker in a Republican Party and America defined by divisions. He was elected President to overcome them. He was killed while trying to do so.\n\nPresident Garfield is American history at its finest. It is about an impoverished boy working his way from the frontier to the Presidency; a progressive statesman, trying to raise a more righteous, peaceful Republic out of the ashes of civil war; the tragically imperfect course of that reformation, and the man himself; a martyr-President, whose death succeeded in nudging the country back to cleaner, calmer politics."
73,Mad Honey,"A soul-stirring novel about what we choose to keep from our past, and what we choose to leave behind.\n\nOlivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising a beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in, and taking over her father\'s beekeeping business.\n \nLily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. \n \nAnd for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet at times, she wonders if she can she trust him completely . . .\n \nThen one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in him, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her.\n \nMad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves."
74,"Captive (Captive, #1)","Au sein des réseaux criminels, là où règnent puissance, meurtre et pouvoir, il y avait elles. Les captives. Dangereuses, malignes et mortelles, elles sont les ombres des plus grands réseaux, les représentantes de leurs chefs, aussi appelés possesseurs.\n\nDepuis son adolescence, Ella est une captive contre son gré. John, son possesseur, préfère utiliser son corps plutôt que ses talents, plongeant sa vie dans un cauchemar éveillé. Jusqu’au jour où il lui annonce qu’elle va travailler pour quelqu’un d’autre…\n\nSi Ella pensait qu’il ne pouvait y avoir pire que John, elle réalise très vite que son nouveau possesseur joue dans une tout autre catégorie. Ce certain « Ash », leader charismatique du réseau des Scott, refuse la présence d’une captive à ses côtés. Pour une raison obscure, il voue une haine viscérale à ces femmes. Un jeu dangereux s’installe alors entre eux, car Asher entends bien faire payer Ella, mais celle-ci ne compte pas céder…\n\n« Ne joue pas avec le diable, mon ange, ne t’aventure pas dans ce que tu regretteras… »"
75,"Nightwing, Vol. 1: Leaping into the Light","The New York Times bestselling Injustice team of Tom Taylor and Bruno Redondo take on Nightwing!\n\nNightwing is back—and his drive to keep Blüdhaven safe has never been stronger! But his adoptive city has elected a new mayor with the last name Zucco. When Nightwing enlists Batgirl’s help in investigating the politician bearing the same name as the man who murdered his parents, she unearths details that will shock and fundamentally change the hero.\n \nDick Grayson’s big heart has protected those persecuted by bullies in his youth, combated evil alongside Batman as Robin, and pledged his newly inherited wealth to enriching Blüdhaven as Nightwing. His kindness and generosity have always guided his life. But now a new villain stalks the back alleys, removing the hearts of the city’s most vulnerable. Who is this terrifying new menace named Heartless, and will he be able to resist plucking out the biggest heart in all of Blüdhaven? \n \nCollected in this Infinite Frontier Nightwing evolution are issues #78-83."
76,"You&#39;ll Be Mine (Hearts Bend Collection, #2)","A return to the past sparks a new future...\n\nInternational hotel manager Ben Carter is not sticking around Hearts Bend. He\'s just home to sell the inn he inherited from his grandparents. The place holds all his best memories-especially the ones that include regular summer guest Cami Jackson. But she\'s been out of his life for years, and she\'s not coming back...\n\nReal estate developer Cami Jackson is ready to take over as VP of her father\'s company. When the Hearts Bend Inn comes on the market, she wants to swoop it up, if only because of the sweet memories of her favorite summers. The last thing she expects to find is her first love back to sign on the dotted line.\n\nBut for her father, the inn holds memories of a terrible tragedy, and he wants to kill the deal. An impulsive decision could turn into a lost-but-found dream...but only if Ben and Cami can keep the past from tearing them apart-again.\n\nA heart-healing story of second chances set in the charming town of Hearts Bend!"
77,Black Thorn,"Blackthorn Ashes was meant to be their forever home. For the first six families moving into the exclusive new housing development, it was a chance to live a peaceful life on the cliffs overlooking the Cornish sea, safe in the knowledge that it had been created just for them.\n\nBut six weeks later, paradise is lost. Six people are dead. And Blackthorn Ashes is left abandoned and unfinished, its dark shadows hiding all manner of secrets.\n\nOne of its surviving residents, Agnes Gale, is determined to find out the truth about what happened. Even if that truth is deadlier than she could have ever believed possible . . ."
78,A Very Typical Family,"All families are messy. Some are disasters.\n\nNatalie Walker is the reason her older brother and sister went to prison over 15 years ago. She fled California shortly after that fateful night and hasn\'t spoken to anyone in her family since. Now, on the same day her boyfriend steals her dream job out from under her, Natalie receives a letter from a lawyer saying her estranged mother has died and left the family\'s historic Santa Cruz house to her. Sort of. The only way for Natalie and her siblings to inherit is for all three adult children to come back and claim it--together.\n\nNatalie drives cross-country to Santa Cruz with her willful cat in tow expecting to sign some papers, see siblings Lynn and Jake briefly, and get back to sorting out her life in Boston. But Jake, now an award-winning ornithologist, is missing. And Lynn, working as an undertaker in New York City, shows up with a teenage son. While Natalie and her nephew look for Jake--meeting a very handsome marine biologist who immediately captures her heart--she unpacks the guilt she has held onto for so many years, wondering how (or if) she can salvage a relationship with her siblings after all this time.\n\nA Very Typical Family navigates the messy yet warm-hearted journey of a family struggling to find each other again. Written with delightfully dark humor and characters you can\'t help but cheer for, this debut from Sierra Godfrey will have you reveling in the power of family and second chances. No one can change the past, but every day is an opportunity to choose your future.\n\nMore Praise for A Very Typical Family \n\nAn emotional gut punch of a story. Godfrey\'s redemption-seeking narrator is one of the most endearing eccentrics to grace the page since Eleanor Oliphant is Completely Fine and The Cactus. If you like characters who march to their own beats--and who doesn\'t--you\'ll love this rich and compelling story. --Ashley Winstead, author of The Last Housewife\n\nWith wit and a big heart, A Very Typical Family gracefully tackles one messy family\'s rocky path back to one another. Clever, sharply written, and at once darkly funny and tender, Godfrey\'s debut captures what it means to come home in every sense. --Holly James, author of Nothing But the Truth\n\nDarkly humorous and deeply emotional, A Very Typical Family is a timeless story of hope and forgiveness. An impressive debut novel. --Kristin Rockaway, author of Smart Girl Summer"
79,The Things We Cannot Say,"In 1942, Europe remains in the relentless grip of war. Just beyond the tents of the Russian refugee camp she calls home, a young woman speaks her wedding vows. It’s a decision that will alter her destiny…and it’s a lie that will remain buried until the next century.\n\nSince she was nine years old, Alina Dziak knew she would marry her best friend, Tomasz. Now fifteen and engaged, Alina is unconcerned by reports of Nazi soldiers at the Polish border, believing her neighbors that they pose no real threat, and dreams instead of the day Tomasz returns from college in Warsaw so they can be married. But little by little, injustice by brutal injustice, the Nazi occupation takes hold, and Alina’s tiny rural village, its families, are divided by fear and hate. Then, as the fabric of their lives is slowly picked apart, Tomasz disappears. Where Alina used to measure time between visits from her beloved, now she measures the spaces between hope and despair, waiting for word from Tomasz and avoiding the attentions of the soldiers who patrol her parents’ farm. But for now, even deafening silence is preferable to grief. \n\nSlipping between Nazi-occupied Poland and the frenetic pace of modern life, Kelly Rimmer creates an emotional and finely wrought narrative that weaves together two women’s stories into a tapestry of perseverance, loyalty, love and honor. The Things We Cannot Say is an unshakable reminder of the devastation when truth is silenced…and how it can take a lifetime to find our voice before we learn to trust it."
80,DCeased,"What happens to the World\'s Finest if the world ends? With death spreading across the planet, who will live and who will turn in this apocalyptic tale of heroism, sacrifice and annihilation?\n\nIt\'s the end of the world as we know it!\n\nSix hundred million people worldwide are instantly turned into violent, monstrous engines of destruction when their minds are recoded with a corrupted Anti-Life Equation from Apokolips. The heroes of Earth are fighting a losing battle to save humanity, save the world and save themselves, in one of the most shocking tales ever told in the DC Universe.\n\nFighting time, each other and all of humanity, Earth\'s greatest heroes must rally together for what may very well be their last chance to save the world from the most terrible plague humanity has ever seen. The Anti-Life Equation has been released and is ravaging the world at the viral speed of social media. Once exposed, victims lose their minds, violently attacking all around them.\n\nThe heroes of Earth are fighting a losing battle to save the world...and themselves! With time running out, who will live and who will die in this apocalyptic tale of heroism, sacrifice and annihilation?\n\nCollects issues #1-6 and DCeased: A Good Day to Die #1"
81,Portals,"The gripping near-future thriller by the New York Times bestselling author whose books have sold over two million copies.\n\nHidden portals link Earth to numerous other planets. But why do they all contain human civilizations? And why does our nearest neighbor have its sights set on Earth? \n\nNoah Harris and Ashley Flynn are field agents for a powerful organization tasked with protecting humanity from the misuse of game-changing technology. But when they discover hidden portals that link Earth to numerous planets, put in place ages earlier by transcendent beings, they are thrust into a maze of deception and intrigue they can\'t begin to understand. One that not only has them battling for their very lives, but which will decide the fate of worlds.\n\nBecause, inexplicably, each of the planets contain human civilizations. And the human rulers of our nearest portal neighbor, having already conquered their own world, have come up with a brilliant, twisted plan to conquer ours.\n\nAnd only Noah and Ashley stand in their way . . .\n\nPortals is a masterful near-future thriller, one packed with nonstop action, astonishing twists, and mind-blowing concepts.\n\n&quot;Richards is an extraordinary writer,&quot; (Dean Koontz) who can &quot;keep you turning the pages all night long.&quot; (Douglas Preston)\n\n&quot;Richards is a worthy successor to Michael Crichton.&quot; (SF Book dot com)\n\nNEAR-FUTURE SCIENCE FICTION THRILLERS BY DOUGLAS E. RICHARDS\n\nSTANDALONES\nQUANTUM LENS\nGAME CHANGER\nINFINITY BORN\nSEEKER\nVERACITY\nORACLE\nTHE IMMORTALITY CODE\nUNIDENTIFIED\nPORTALS\n\nSERIES\nWIRED (Wired 1)\nAMPED (Wired 2)\n\nMIND\'S EYE (Nick Hall 1)\nBRAINWEB (Nick Hall 2)\nMIND WAR (Nick Hall 3)\n\nSPLIT SECOND(Split Second 1)\nTIME FRAME (Split Second 2)\n\nTHE ENIGMA CUBE (Alien Artifact 1)\nA PIVOT IN TIME (Alien Artifact 2)\n\nKids Science Fiction Thrillers (9 and up, enjoyed by kids and adults alike)\nTRAPPED (Prometheus Project 1)\nCAPTURED (Prometheus Project 2)\nSTRANDED (Prometheus Project 3)\nOUT OF THIS WORLD\nDEVIL\'S SWORD"
